iteration	actual_rc	marker_count	test_fail_count	forbidden_count	expectation_matched	log
01	1	1	1	0	YES	logs/go126-S-stock-R2-repeat-01.log
02	1	1	1	0	YES	logs/go126-S-stock-R2-repeat-02.log
03	1	1	1	0	YES	logs/go126-S-stock-R2-repeat-03.log
04	1	1	1	0	YES	logs/go126-S-stock-R2-repeat-04.log
05	1	1	1	0	YES	logs/go126-S-stock-R2-repeat-05.log
06	1	1	1	0	YES	logs/go126-S-stock-R2-repeat-06.log
07	1	1	1	0	YES	logs/go126-S-stock-R2-repeat-07.log
08	1	1	1	0	YES	logs/go126-S-stock-R2-repeat-08.log
09	1	1	1	0	YES	logs/go126-S-stock-R2-repeat-09.log
10	1	1	1	0	YES	logs/go126-S-stock-R2-repeat-10.log
